Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Prepn_Time
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,4.464417671579878,15
30.0,4.7,Fog,Low,3,Snack,electric_scooter,0.0,No,Metropolitian,25,16.6351168936998,0
39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,16.610672955997156,5
37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,6.219419664894865,10
32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,6.19680534366793,10
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,7.4519201744257,15
23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20.212460530271784,15
33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,16.577488524535223,10
23.0,4.7,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,4.53364788897892,10
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,12.396712257294642,5
34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,6.108440050157439,15
26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,1.5180601842214017,10
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,9.074471773144907,15
32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,3.0592417522807835,5
27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,3.020731790895242,5
21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,13.945658037651098,15
28.0,4.8,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,7.747793362638613,5
24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,6.276138627413788,15
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,1.5341291142656948,10
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,13.945629461520687,15
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,9.32931954189402,15
30.0,4.7,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,4.588712137571156,0
36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,10.586720360323753,10
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,17.042634005429182,10
39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,9.20451275105084,5
29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,17,12.1426704162829,15
29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,6.0714137610243695,10
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,4.664602978341938,10
33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,6.276138627413788,10
31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,10.69100092566136,10
37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,6.276138627413788,5
26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,9.296531667508171,10
24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,17.10252275797518,10
23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,3.1380694073889375,10
36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,1.5690347154047222,15
39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,6.205591081602371,15
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,12.438452034187964,10
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20.166286848244525,15
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,9.067759514407921,5
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,17.103104604488404,5
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,13.611105169020725,5
22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,12.056968418188378,15
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.704957546119868,5
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,7.5891604266051464,15
24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,7.551948584727068,10
30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,10.983241696284242,10
35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,13.8048731994065,10
33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,13.941657178556085,15
39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,10.900635211617388,5
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,12.099040609550995,10
37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,1.5495096221395899,15
37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,4.654256824131883,5
33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,1.5269331229167933,5
24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,9.414207472710384,15
33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,11.902924672838564,5
39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,10.47279774286206,15
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,13.563852221699795,10
25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,7.6696078159334125,5
28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,9.177365744557306,5
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,6.205474967025108,10
30.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,10.41513064614557,0
31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,9.308258482124039,10
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,9.164099415262326,15
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,10.858950700039014,5
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,10.550295445173377,10
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,12.082423061296744,10
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,4.647989333607506,10
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,2.9777179937144274,15
27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,4.554150979429106,5
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,13.962004343954739,10
36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,10.625702124383546,15
26.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.136519522327368,10
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,13.41246037752413,5
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,9.30866211935528,10
21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,1.4880598281966515,10
35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,12.39395555693745,5
20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,6.205452508878913,5
23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,13.764250249667594,15
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,9.066849655818128,10
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,9.297076456518699,5
29.0,5.0,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,11,12.142486110300894,15
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,16.61263581820452,15
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,9.177225998300313,5
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,3.0139588709850593,15
21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,4.391724962431041,10
22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.1028522086456105,15
31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,11.902753837483976,15
20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,3.1098846908757523,10
30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,32,12.09895659021292,15
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,10.846831683111873,15
24.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,6.205738534229064,10
32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,1.5513238067891462,10
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,9.294705791241629,5
27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,6.136227883481779,15
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.845889966900735,15
23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,6.197038931411321,5
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,20.141124436630037,5
20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,9.414207472710384,5
20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,11.905861749701417,10
29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,4.488577625713805,15
26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20.827572697496162,5
25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,1.5573379636752027,5
34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,6.1983397369141935,15
31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,6.1637986891740075,15
24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20.39744277518833,5
30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,13.805626960612091,15
36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,19.351082464681625,5
36.0,4.4,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,37,20.832850885767474,15
26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,20.827407215133082,5
30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,29,16.635239139962547,10
20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,4.707104052532131,15
33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,7.747301749382051,15
30.0,4.7,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,10.983241696284242,0
34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,13.743748712643285,5
36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,12.271931674508645,10
33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,2.9810670001645097,10
22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,16.760840661942968,15
38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,1.529404811880711,15
27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,12.396903135321507,15
32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,10.43231016908222,10
26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,12.396259636750276,10
29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,19.630777254614774,10
31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,12.43875210831113,15
28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,6.135383422532994,15
21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,8.918886685100235,5
21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,7.774458242271917,5
30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,12.552275755914396,10
29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,5.98448470305908,5
20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,1.5271543706841988,10
28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,13.713493498525082,10
25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,10.687630840937478,10
30.0,4.7,Fog,Low,3,Buffet,motorcycle,1.0,Yes,Urban,43,16.82376113749127,0
38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,3.098689497995881,5
39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,4.60191950861356,10
26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,9.107880591147302,5
33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,10.883781468541267,15
24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,9.074511964797063,10
24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,6.2195799756053045,10
33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,13.591743492034936,15
35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,13.59160829724938,10
27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,13.740852946327324,5
30.0,4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,7.74607909737689,5
29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,4.648411816939903,5
34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,19.321445595985512,10
20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,2.9809448604628397,15
29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,6.049870868802052,5
22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,9.074580779980996,5
35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,10.405169702130612,15
32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,17.12927552767304,10
